size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
174080,6,8949,0,3200745,5001,320
174080,6,9109,0,3207742,5012,320
174080,6,9044,0,3202982,5004,320
174080,6,8793,0,3196230,4994,319
174080,6,8789,0,3205164,5008,320
174080,6,8821,0,3196358,4994,319
174080,6,8890,0,3209567,5014,320
174080,6,8792,0,3195964,4993,319
174080,6,8759,0,3197269,4995,319
174080,6,9004,0,3199298,4998,319
174080,6,8920,0,3196526,4994,319
174080,6,8934,0,3203352,5005,320
174080,6,8958,0,3204709,5007,320
174080,6,8897,0,3194041,4990,319
174080,6,8904,0,3186107,4978,318
174080,6,8868,0,3190153,4984,319
174080,6,8903,0,3198922,4998,319
174080,6,8976,0,3196866,4995,319
174080,6,8993,0,3193207,4989,319
174080,6,8992,0,3198330,4997,319
174080,6,9046,0,3205400,5008,320
174080,6,8992,0,3198540,4997,319
174080,6,8832,0,3209171,5014,320
174080,6,8896,0,3192781,4988,319
174080,6,8825,0,3202281,5003,320
174080,6,8837,0,3189374,4983,318
174080,6,8781,0,3195613,4993,319
174080,6,8801,0,3193213,4989,319
174080,6,8807,0,3201835,5002,320
174080,6,8762,0,3199066,4998,319
174080,6,8794,0,3203559,5005,320
174080,6,8797,0,3192955,4988,319
174080,6,8783,0,3201236,5001,320
174080,6,8882,0,3198065,4996,319
174080,6,8716,0,3188340,4981,318
174080,6,8811,0,3207099,5011,320
174080,6,8922,0,3209143,5014,320
174080,6,8759,0,3201699,5002,320
174080,6,8756,0,3204184,5006,320
174080,6,8846,0,3190142,4984,319
174080,7,8904,0,3203093,5004,320
174080,6,8885,0,3207167,5011,320
174080,6,8904,0,3191002,4985,319
174080,6,8983,0,3200482,5000,320
174080,6,9002,0,3202948,5004,320
174080,6,8966,0,3201169,5001,320
174080,6,9130,0,3213535,5021,321
174080,6,8993,0,3208475,5013,320
174080,6,8943,0,3199451,4999,319
174080,6,8980,0,3198911,4998,319
174080,6,9003,0,3193988,4990,319
174080,6,8966,0,3197686,4996,319
174080,6,8933,0,3198458,4997,319
174080,6,8944,0,3207320,5011,320
174080,6,9009,0,3198567,4997,319
174080,6,8784,0,3201911,5002,320
174080,6,8865,0,3200264,5000,320
174080,6,8798,0,3206228,5009,320
174080,6,8831,0,3195231,4992,319
174080,6,9060,0,3201027,5001,320
174080,6,8781,0,3204852,5007,320
174080,6,8783,0,3209262,5014,320
174080,6,8776,0,3197632,4996,319
174080,6,8806,0,3209841,5015,320
174080,6,8856,0,3194835,4991,319
174080,6,8849,0,3213643,5021,321
174080,6,8783,0,3195059,4992,319
174080,6,8794,0,3203129,5004,320
174080,6,8746,0,3199498,4999,319
174080,6,8835,0,3199950,4999,319
174080,6,8802,0,3197998,4996,319
174080,6,8735,0,3185744,4977,318
174080,6,8766,0,3203004,5004,320
174080,6,8807,0,3194218,4990,319
174080,6,8827,0,3207034,5010,320
174080,6,8742,0,3195640,4993,319
174080,6,8901,0,3208480,5013,320
174080,6,9038,0,3188288,4981,318
174080,6,9145,0,3196088,4993,319
174080,6,9103,0,3209279,5014,320
174080,6,9069,0,3203282,5005,320
174080,6,9001,0,3195263,4992,319
174080,6,9009,0,3215106,5023,321
174080,6,9040,0,3210295,5016,321
174080,6,9005,0,3210777,5016,321
174080,6,9006,0,3198685,4997,319
174080,6,8995,0,3197939,4996,319
174080,6,9010,0,3199884,4999,319
174080,6,8979,0,3190182,4984,319
174080,6,9076,0,3207769,5012,320
174080,6,9040,0,3204367,5006,320
174080,6,9048,0,3202808,5004,320
174080,6,8801,0,3193706,4990,319
174080,6,8754,0,3204798,5007,320
174080,6,8870,0,3194887,4992,319
174080,6,8789,0,3204873,5007,320
174080,6,8792,0,3194027,4990,319
174080,6,8833,0,3212784,5019,321
174080,6,8893,0,3209902,5015,320
174080,6,8832,0,3192271,4987,319
