size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
17408,0,863,0,319847,4997,31
17408,0,869,0,319847,4997,31
17408,0,873,0,319847,4997,31
17408,0,875,0,319847,4997,31
17408,0,870,0,319847,4997,31
17408,0,873,0,319847,4997,31
17408,0,878,0,319847,4997,31
17408,0,874,0,319847,4997,31
17408,0,872,0,319847,4997,31
17408,0,874,0,319847,4997,31
17408,0,873,0,319847,4997,31
17408,0,872,0,319847,4997,31
17408,0,868,0,319847,4997,31
17408,0,873,0,319847,4997,31
17408,0,849,0,319847,4997,31
17408,0,849,0,319847,4997,31
17408,0,849,0,319847,4997,31
17408,0,854,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,865,0,319847,4997,31
17408,0,854,0,319847,4997,31
17408,0,854,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,843,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,841,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,851,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,850,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,842,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,842,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,840,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,843,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,843,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,841,0,319847,4997,31
17408,0,842,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,851,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,843,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,845,0,319847,4997,31
17408,0,849,0,319847,4997,31
17408,0,841,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,848,0,319847,4997,31
17408,0,844,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,847,0,319847,4997,31
17408,0,840,0,319847,4997,31
17408,0,843,0,319847,4997,31
17408,0,846,0,319847,4997,31
17408,0,841,0,319847,4997,31
17408,0,849,0,319847,4997,31
17408,0,849,0,319847,4997,31
17408,0,852,0,319847,4997,31
