size_in_bytes,creation_time_ms,activation_time_ms,average_loop_time_ms,total_changes,average_changes_per_cell,average_changes_per_loop
3840,0,42,0,1056,1,0
3840,0,41,0,685,1,0
3840,0,41,0,1064,1,0
3840,0,41,0,933,1,0
3840,0,42,0,946,1,0
3840,0,41,0,915,1,0
3840,0,41,0,983,1,0
3840,0,41,0,1026,1,0
3840,0,41,0,1138,1,0
3840,0,42,0,1171,1,0
3840,0,41,0,863,1,0
3840,0,41,0,730,1,0
3840,0,42,0,726,1,0
3840,0,41,0,1047,1,0
3840,0,42,0,1277,1,0
3840,0,41,0,845,1,0
3840,0,41,0,852,1,0
3840,0,41,0,881,1,0
3840,0,42,0,1008,1,0
3840,0,41,0,762,1,0
3840,0,41,0,991,1,0
3840,0,41,0,989,1,0
3840,0,41,0,913,1,0
3840,0,41,0,1149,1,0
3840,0,41,0,934,1,0
3840,0,42,0,880,1,0
3840,0,42,0,680,1,0
3840,0,41,0,777,1,0
3840,0,41,0,831,1,0
3840,0,42,0,837,1,0
3840,0,41,0,1139,1,0
3840,0,42,0,1132,1,0
3840,0,41,0,1285,2,0
3840,0,41,0,884,1,0
3840,0,41,0,915,1,0
3840,0,41,0,927,1,0
3840,0,41,0,751,1,0
3840,0,42,0,1000,1,0
3840,0,41,0,1042,1,0
3840,0,42,0,1216,1,0
3840,0,42,0,768,1,0
3840,0,42,0,957,1,0
3840,0,42,0,941,1,0
3840,0,41,0,945,1,0
3840,0,42,0,1078,1,0
3840,0,42,0,795,1,0
3840,0,42,0,918,1,0
3840,0,42,0,893,1,0
3840,0,41,0,849,1,0
3840,0,41,0,982,1,0
3840,0,42,0,1038,1,0
3840,0,42,0,914,1,0
3840,0,42,0,863,1,0
3840,0,42,0,849,1,0
3840,0,41,0,964,1,0
3840,0,41,0,946,1,0
3840,0,41,0,1019,1,0
3840,0,42,0,1016,1,0
3840,0,42,0,1164,1,0
3840,0,42,0,716,1,0
3840,0,42,0,1185,1,0
3840,0,42,0,1148,1,0
3840,0,42,0,808,1,0
3840,0,42,0,981,1,0
3840,0,42,0,1007,1,0
3840,0,42,0,770,1,0
3840,0,42,0,1070,1,0
3840,0,42,0,779,1,0
3840,0,42,0,985,1,0
3840,0,42,0,955,1,0
3840,0,42,0,1095,1,0
3840,0,42,0,801,1,0
3840,0,42,0,905,1,0
3840,0,42,0,720,1,0
3840,0,42,0,844,1,0
3840,0,42,0,900,1,0
3840,0,42,0,1039,1,0
3840,0,42,0,1182,1,0
3840,0,42,0,788,1,0
3840,0,42,0,904,1,0
3840,0,42,0,925,1,0
3840,0,41,0,816,1,0
3840,0,42,0,1045,1,0
3840,0,42,0,1288,2,0
3840,0,42,0,1165,1,0
3840,0,42,0,954,1,0
3840,0,42,0,847,1,0
3840,0,41,0,1008,1,0
3840,0,41,0,797,1,0
3840,0,42,0,912,1,0
3840,0,42,0,773,1,0
3840,0,42,0,1308,2,0
3840,0,42,0,866,1,0
3840,0,41,0,880,1,0
3840,0,41,0,994,1,0
3840,0,41,0,890,1,0
3840,0,41,0,887,1,0
3840,0,41,0,1011,1,0
3840,0,42,0,836,1,0
3840,0,42,0,1140,1,0
